,ITEMID,UOM,BRANDID,CLASSIFY_STATE,SUBSTATE,STARTDATE,ENDDATE,RRP,DEAL,BUNDLE_QTY,BUNDLE_PRICE,EXCEL_PATH,EMAIL_PATH,CLAIM_NUMBER,VEN_ID,VEN_NAME,CLAIM_NUMBER_NEW
25,1233015,1,1C,National,,2023-06-21,2023-07-18,75.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221201_230401_A/LL PAF form wks 3639 210223.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221201_230401_A/re external robert oatley ll1c final supplier confirmation weeks 3639 0103 2803.eml,10,12947,G.H.P.L.,10
26,1233015,1,VC,National,,2023-02-01,2023-04-11,92.0,1.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221201_230401_A/VC PAF PC9 Piper Heidsieck 120423 to 160523.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221201_230401_A/re external pc 9 paf piper.eml,11,12947,G.H.P.L.,11
27,4333297,1,1C,National,,2022-09-14,2022-10-11,20.0,0.95,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/1C PAF form wks 2023 091122 to 061222.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 2023 09110612.eml,12,962280,ROBERT OATLEY VINEYARDS,9
28,4333297,1,LL,STATE,ACT,2023-03-01,2023-03-28,24.0,0.95,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/LL PAF form wks 4851 100523.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 4851 2405 2006.eml,13,962280,ROBERT OATLEY VINEYARDS,10
29,4333297,1,LL,STATE,NSW,2023-03-01,2023-03-28,24.0,0.95,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/LL PAF form wks 4851 100523.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 4851 2405 2006.eml,13,962280,ROBERT OATLEY VINEYARDS,10
30,4333297,1,LL,STATE,QLD,2023-03-01,2023-03-28,24.0,0.95,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/LL PAF form wks 4851 100523.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 4851 2405 2006.eml,13,962280,ROBERT OATLEY VINEYARDS,10
31,4333297,1,LL,STATE,SA,2023-03-01,2023-03-28,24.0,0.95,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/LL PAF form wks 4851 100523.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 4851 2405 2006.eml,13,962280,ROBERT OATLEY VINEYARDS,10
32,4333297,1,LL,STATE,VIC,2023-03-01,2023-03-28,24.0,0.95,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/LL PAF form wks 4851 100523.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 4851 2405 2006.eml,13,962280,ROBERT OATLEY VINEYARDS,10
33,4333297,1,LL,STATE,TAS,2023-03-01,2023-03-28,24.0,0.95,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/LL PAF form wks 4851 100523.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 4851 2405 2006.eml,13,962280,ROBERT OATLEY VINEYARDS,10
34,4333297,1,LL,STATE,NT,2023-03-01,2023-03-28,25.0,0.95,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Attachment/CL_230501_230701_A/LL PAF form wks 4851 100523.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/CL/Email/CL_230501_230701_A/re external robert oatley ll1c final supplier confirmation weeks 4851 2405 2006.eml,13,962280,ROBERT OATLEY VINEYARDS,10
